ts,vault,vault_name,coin,delta_usd,szi,funding_rate
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,kNEIRO,18.752861,-160296.0291666666,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,kFLOKI,10.247177,646396.1666666666,-6.3771e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,SUSHI,-20.950493,90393.4958333333,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,XLM,0.120833,-157099.0833333333,9.27e-08
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,WCT,2.433863,17596.9583333333,-1.92196e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,TAO,74.495766,-711.0517916667,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,TIA,32.767328,45890.8958333333,-1.80082e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,TNSR,20.216961,-554724.2958333333,1.22607e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,TON,68.226892,-59721.5458333333,1.3559e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,TRB,10.922716,-1007.14,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,SUPER,-320.344693,-162458.375,-0.0001117943
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,MOODENG,-4.238628,-473035.375,-2.2824e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,TRUMP,-3.196807,2651.525,5.6591e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,kDOGS,-0.379773,9390.7083333333,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,UMA,-2.291333,6215.5333333333,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,USTC,50.233246,-13012333.375,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,USUAL,1.711959,76886.3416666667,-1.26438e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,VINE,4.094186,-121100.375,1.30117e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,VVV,0.007382,-7.4275,1.59146e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,TST,-18.389377,1478106.9166666667,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,TURBO,-1.865051,35927206.791666664,4.19e-07
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,W,51.142242,3158139.7583333333,-8.8229e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,STX,54.409442,-259927.4666666667,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,UNI,-51.531737,20637.5833333333,1.13503e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,GOAT,-1.18348,216960.2083333333,2.4168e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,IOTA,-1.136784,26106.4166666667,9.8557e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,LINK,37.492605,-7550.85,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,BOME,5.45229,-10243767.583333334,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,BRETT,-17.815637,1146027.5,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,BSV,42.918073,-5421.6225,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,BTC,784.017878,-31.1890095833,9.08e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,CAKE,-26.97117,34079.7708333333,1.24499e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,CELO,-8.554197,92149.375,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,CHILLGUY,17.096249,-1053756.7916666667,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,BLUR,-34.394389,1436512.9583333333,1.176e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ENS,-0.270269,32.33,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,ENA,-374.068114,-255176.9166666667,-0.0001041586
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,DOGE,-2.151253,748704.9583333334,4.954e-07
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,DOOD,-9.572714,8219324.416666667,1.50169e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,DOT,9.677644,-8881.975,1.25e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,DYDX,0.685887,-111073.9166666667,6.578e-07
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,DYM,22.894819,538363.7916666666,-7.3601e-06
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,EIGEN,-0.583794,1859.21125,1.17334e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,BLAST,-49.123688,-15550705.333333334,-4.30904e-05
2025-08-01 00:00:00+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,COMP,-4.761493,1683.4104166667,2.6632e-06
