ts,vault,vault_name,scope,timeframe,account_value,flow_cum,pnl_since_inception
2025-09-03 22:10:00.026000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,7500000.0,6988208.981707001,511791.0
2025-09-10 23:30:00.093000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,7500000.0,6988208.981707001,511791.0
2025-09-17 22:30:00.074000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,7500000.0,6988208.981707001,511791.0
2025-09-24 22:50:00.049000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,7500000.0,5389354.252771001,2110645.72
2025-10-01 23:50:00.008000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,7500000.0,5389354.252771001,2110645.72
2025-10-08 21:50:00.120000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,7500000.0,5389354.252771001,2110645.72
2025-10-15 23:50:00.052000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,30000000.0,18296527.382278003,11703472.59
2025-10-22 23:10:00.064000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,30000000.0,18296527.382278003,11703472.59
2025-10-29 22:10:00.066000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,30000000.0,18296527.382278003,11703472.59
2025-11-05 22:30:00.027000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,30000000.0,18268083.838143002,11731916.13
2025-11-12 22:30:00.004000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,30000001.017114,18268083.838143002,11731917.147114
2025-11-19 22:10:00.074000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,all,allTime,30000001.017114,18268083.838143002,11731917.147114
2025-08-06 22:02:00.056000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,7500000.241388,0.0,41921.501388
2025-08-13 22:42:00.028000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,7500000.0,0.0,41976.4
2025-08-20 23:02:00.026000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,7500000.000001,0.0,243153.350001
2025-08-27 22:30:00.102000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,7500000.0,0.0,511791.0
2025-09-03 22:10:00.026000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,7500000.0,0.0,511791.0
2025-09-10 23:30:00.093000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,7500000.0,0.0,511791.0
2025-09-17 22:30:00.074000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,7500000.0,0.0,511791.0
2025-09-24 22:50:00.049000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,7500000.0,0.0,2110645.72
2025-10-01 23:50:00.008000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,7500000.0,0.0,2110645.72
2025-10-08 21:50:00.120000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,7500000.0,0.0,2110645.72
2025-10-15 23:50:00.052000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,30000000.0,0.0,11703472.59
2025-10-22 23:10:00.064000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,30000000.0,0.0,11703472.59
2025-10-29 22:10:00.066000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,30000000.0,0.0,11703472.59
2025-11-05 22:30:00.027000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,30000000.0,0.0,11731916.13
2025-11-12 22:30:00.004000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,30000001.017114,0.0,11731917.147114
2025-11-19 22:10:00.074000+00:00,0xb0a55f13d22f66e6d495ac98113841b2326e9540,Liquidator 2,perp,perpAllTime,30000001.017114,0.0,11731917.147114
2025-08-13 22:42:00.028000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,all,allTime,143109058.203613,142328623.02654785,780435.173613
2025-08-27 23:10:00.039000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,all,allTime,179207639.723347,176985907.48929685,2221732.243347
2025-09-10 21:50:00.024000+00:00,0x010461c14e146ac35fe42271bdc1134ee31c703a,Strategy A,all,allTime,181960363.091726,180465167.65082288,1495195.451726
